Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Giannis Antetokounmpo,30.0,MIL,PF,5.0,5.0,37.6,12.0,19.8,0.606,0.2,1.0,0.2,11.8,18.8,0.628,0.611,8.8,12.6,0.698,3.8,11.6,15.4,6.6,1.0,1.0,4.6,2.4,33.0
Luka Dončić,25.0,LAL,PG,5.0,5.0,41.6,9.4,20.8,0.452,3.2,9.2,0.348,6.2,11.6,0.534,0.529,8.2,9.2,0.891,0.4,6.6,7.0,5.8,1.0,0.6,4.0,3.2,30.2
Shai Gilgeous-Alexander,26.0,OKC,PG,23.0,23.0,37.0,10.1,21.9,0.462,1.4,4.9,0.283,8.7,17.0,0.514,0.494,8.3,9.4,0.876,1.0,4.3,5.3,6.5,1.7,0.9,2.6,2.8,29.9
Donovan Mitchell,28.0,CLE,SG,9.0,9.0,32.0,9.6,21.6,0.443,3.1,9.3,0.333,6.4,12.2,0.527,0.515,7.3,9.9,0.742,1.2,3.4,4.7,3.9,1.9,0.3,1.9,2.0,29.6
Paolo Banchero,22.0,ORL,PF,5.0,5.0,39.4,10.8,24.8,0.435,2.4,5.4,0.444,8.4,19.4,0.433,0.484,5.4,8.2,0.659,2.4,6.0,8.4,4.2,0.6,0.8,3.0,3.6,29.4
Jalen Brunson,28.0,NYK,PG,18.0,18.0,37.8,10.1,21.8,0.461,2.7,7.4,0.358,7.4,14.4,0.514,0.522,6.7,7.8,0.851,0.7,2.8,3.4,7.0,0.4,0.3,3.1,3.3,29.4
Jayson Tatum,26.0,BOS,PF,8.0,8.0,40.3,9.3,21.9,0.423,3.6,9.8,0.372,5.6,12.1,0.464,0.506,6.0,6.8,0.889,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1
Nikola Jokić,29.0,DEN,C,14.0,14.0,40.2,9.4,19.1,0.489,1.9,5.1,0.38,7.4,14.1,0.528,0.539,5.6,7.2,0.772,2.1,10.6,12.7,8.0,2.0,0.9,3.9,3.4,26.2
Franz Wagner,23.0,ORL,SF,5.0,5.0,39.0,10.2,23.0,0.443,1.4,7.4,0.189,8.8,15.6,0.564,0.474,4.0,5.2,0.769,0.6,4.2,4.8,5.6,1.2,0.4,2.0,3.2,25.8
LeBron James,40.0,LAL,SF,5.0,5.0,40.8,8.6,17.6,0.489,2.0,5.6,0.357,6.6,12.0,0.55,0.545,6.2,8.0,0.775,2.4,6.6,9.0,5.6,2.0,1.8,2.6,1.6,25.4
