Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen Brunson,29.0,NYK,PG,19.0,19.0,36.9,10.1,21.7,0.465,2.4,6.5,0.363,7.7,15.2,0.509,0.519,5.8,6.8,0.846,0.6,2.6,3.2,6.1,1.2,0.0,2.7,2.1,28.4
Cade Cunningham,24.0,DET,PG,14.0,14.0,40.9,9.1,21.0,0.432,2.9,7.3,0.402,6.1,13.7,0.448,0.502,7.1,8.2,0.861,0.9,4.2,5.1,7.5,1.1,0.6,5.6,3.1,28.1
Shai Gilgeous-Alexander,27.0,OKC,PG,15.0,15.0,36.3,8.8,19.0,0.463,1.2,3.9,0.305,7.6,15.1,0.504,0.495,8.8,9.9,0.892,0.4,2.5,2.9,7.9,1.3,0.9,3.1,2.3,27.6
Paolo Banchero,23.0,ORL,PF,7.0,7.0,39.0,8.6,20.4,0.42,2.0,6.0,0.333,6.6,14.4,0.455,0.469,7.1,10.6,0.676,1.3,7.7,9.0,6.3,1.4,0.7,3.4,2.6,26.3
Dillon Brooks,30.0,PHO,SF,4.0,4.0,37.3,9.8,21.3,0.459,3.5,8.0,0.438,6.3,13.3,0.472,0.541,3.0,3.0,1.0,1.3,4.8,6.0,1.8,0.3,0.3,1.5,4.5,26.0
Donovan Mitchell,29.0,CLE,SG,18.0,18.0,36.2,9.5,21.1,0.451,2.8,8.7,0.327,6.7,12.4,0.538,0.518,4.2,5.1,0.815,0.8,4.0,4.8,3.1,1.2,0.3,2.6,3.1,26.0
Nikola Jokić,30.0,DEN,C,6.0,6.0,39.5,9.0,20.2,0.446,1.2,6.0,0.194,7.8,14.2,0.553,0.475,6.7,7.2,0.93,1.5,11.7,13.2,9.5,1.0,0.8,3.8,3.5,25.8
Jaylen Brown,29.0,BOS,SF,7.0,7.0,35.6,9.3,20.4,0.455,2.4,6.0,0.405,6.9,14.4,0.475,0.514,4.7,6.6,0.717,1.6,4.1,5.7,3.3,0.9,1.1,3.6,3.0,25.7
Scottie Barnes,24.0,TOR,PF,7.0,7.0,39.0,8.4,16.6,0.509,1.1,3.0,0.381,7.3,13.6,0.537,0.543,6.1,7.7,0.796,1.6,4.6,6.1,8.6,1.1,1.7,3.4,3.0,24.1
RJ Barrett,25.0,TOR,SF,7.0,7.0,38.7,9.0,18.9,0.477,2.4,6.3,0.386,6.6,12.6,0.523,0.542,3.7,5.9,0.634,2.0,5.0,7.0,4.0,1.3,0.3,3.6,3.4,24.1
Joel Embiid,31.0,PHI,C,7.0,7.0,33.3,8.1,17.7,0.46,0.7,4.0,0.179,7.4,13.7,0.542,0.48,7.0,8.4,0.831,1.1,6.1,7.3,5.4,0.3,0.9,2.1,2.4,24.0
Victor Wembanyama,22.0,SAS,C,22.0,22.0,34.1,8.0,16.5,0.485,1.8,5.2,0.342,6.2,11.3,0.55,0.539,6.0,7.1,0.847,2.5,8.4,10.9,2.7,1.0,3.5,2.7,2.5,23.8
Tyrese Maxey,25.0,PHI,PG,11.0,11.0,39.7,8.7,19.2,0.455,2.4,6.7,0.351,6.4,12.5,0.511,0.517,3.9,4.4,0.896,0.4,3.6,4.0,5.9,0.8,0.4,2.1,2.0,23.7
Jamal Murray,28.0,DEN,PG,6.0,6.0,39.7,7.7,21.5,0.357,1.8,7.0,0.262,5.8,14.5,0.402,0.399,6.5,6.7,0.975,1.2,3.8,5.0,5.7,0.8,0.3,2.2,1.7,23.7
Jayson Tatum,27.0,BOS,PF,6.0,6.0,36.3,8.0,16.8,0.475,3.2,8.7,0.365,4.8,8.2,0.592,0.569,4.2,5.3,0.781,1.0,9.7,10.7,6.8,1.2,0.0,2.8,1.8,23.3
LeBron James,41.0,LAL,SF,10.0,10.0,38.4,8.4,18.3,0.459,1.7,5.2,0.327,6.7,13.1,0.511,0.505,4.7,6.3,0.746,0.4,6.3,6.7,7.3,1.3,0.3,3.8,1.6,23.2
Kevin Durant,37.0,HOU,SF,1.0,1.0,41.0,7.0,12.0,0.583,1.0,4.0,0.25,6.0,8.0,0.75,0.625,8.0,9.0,0.889,2.0,4.0,6.0,4.0,1.0,1.0,9.0,4.0,23.0
Deni Avdija,25.0,POR,SF,5.0,5.0,34.8,7.0,15.6,0.449,1.4,4.0,0.35,5.6,11.6,0.483,0.494,6.8,9.4,0.723,0.6,5.4,6.0,4.6,0.4,0.6,3.4,3.8,22.2
Jalen Green,23.0,PHO,SG,4.0,4.0,37.8,8.0,20.8,0.386,1.8,8.5,0.206,6.3,12.3,0.51,0.428,4.0,5.0,0.8,1.3,4.0,5.3,3.5,2.0,0.3,3.3,2.0,21.8
Anthony Edwards,24.0,MIN,SG,10.0,8.0,32.4,7.7,18.0,0.428,2.0,6.3,0.317,5.7,11.7,0.487,0.483,4.2,5.1,0.824,0.5,5.2,5.7,2.7,0.5,0.7,2.5,2.9,21.6
Devin Booker,29.0,PHO,SG,4.0,4.0,38.3,7.3,15.8,0.46,1.3,5.0,0.25,6.0,10.8,0.558,0.5,5.5,7.0,0.786,2.5,1.8,4.3,4.8,0.3,0.3,4.0,3.8,21.3
Alperen Şengün,23.0,HOU,C,6.0,6.0,38.7,7.7,16.5,0.465,0.2,1.3,0.125,7.5,15.2,0.495,0.47,4.8,7.0,0.69,3.5,6.7,10.2,4.7,1.8,1.3,3.0,3.5,20.3
